date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:58:45	232/232	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:46%20GMT	http://taotajima.jp/works/xperia-ear-duo/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/xperia-ear-duo/manifest.json	(from http://taotajima.jp/works/xperia-ear-duo/)
02:58:46	224/224	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:46%20GMT	http://taotajima.jp/works/techne/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/techne/manifest.json	(from http://taotajima.jp/works/techne/)
02:58:46	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:46%20GMT	http://taotajima.jp/works/stripe-intl/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/stripe-intl/manifest.json	(from http://taotajima.jp/works/stripe-intl/)
02:58:47	233/233	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:47%20GMT	http://taotajima.jp/works/itsuka-no-hoshi/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/itsuka-no-hoshi/manifest.json	(from http://taotajima.jp/works/itsuka-no-hoshi/)
02:58:47	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:47%20GMT	http://taotajima.jp/works/bravia-2017/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/bravia-2017/manifest.json	(from http://taotajima.jp/works/bravia-2017/)
02:58:47	656663/656663	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2011%20Aug%202018%2009:22:39%20GMT	http://taotajima.jp/js/lib-body.pack.min.js	C:/Meus%20Sites/site%20bonito/taotajima.jp/js/lib-body.pack.min.js	(from http://taotajima.jp/)
02:58:48	225/225	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:48%20GMT	http://taotajima.jp/works/asa-dan/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/asa-dan/manifest.json	(from http://taotajima.jp/works/asa-dan/)
02:58:48	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:49%20GMT	http://taotajima.jp/works/waxing-moon/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/waxing-moon/manifest.json	(from http://taotajima.jp/works/waxing-moon/)
02:58:49	228/228	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:49%20GMT	http://taotajima.jp/works/xperia-ear/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/xperia-ear/manifest.json	(from http://taotajima.jp/works/xperia-ear/)
02:58:49	222/222	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2005:58:49%20GMT	http://taotajima.jp/works/sstv/manifest.json	C:/Meus%20Sites/site%20bonito/taotajima.jp/works/sstv/manifest.json	(from http://taotajima.jp/works/sstv/)
